%roll pitch yaw
0.0019188 -0.0033453 -1.96824
0.00112826 -0.00351687 -1.96796
0.000233173 -0.00356896 -1.96779
-0.000708122 -0.00354466 -1.96771
-0.00160892 -0.00350224 -1.96772
-0.00240582 -0.00339013 -1.96779
-0.0030367 -0.0032921 -1.96788
-0.00347085 -0.003178 -1.96799
-0.00371948 -0.00305619 -1.9681
-0.00380321 -0.0030071 -1.96822
-0.00371769 -0.00292351 -1.96835
-0.00347082 -0.00287181 -1.96854
-0.00308284 -0.00282035 -1.96879
-0.00255247 -0.00280074 -1.96909
-0.00204436 -0.00284098 -1.96944
-0.00145141 -0.00288539 -1.96985
-0.000806853 -0.00296848 -1.97028
-0.000107837 -0.00305344 -1.97072
0.000619991 -0.00314037 -1.97114
0.00150255 -0.00325391 -1.97155
0.00241206 -0.00332793 -1.97191
0.00336695 -0.00339106 -1.97224
0.0043496 -0.00341498 -1.97253
0.00532974 -0.00345653 -1.97279
0.00628079 -0.00351516 -1.97303
0.00697159 -0.00358066 -1.97323
0.00757239 -0.00368387 -1.97341
0.00828218 -0.00381032 -1.97356
0.00888123 -0.00391842 -1.9737
0.00938818 -0.00404772 -1.97382
0.00979243 -0.00416837 -1.9739
0.0100953 -0.00429558 -1.97397
0.0103045 -0.00441407 -1.97403
0.0104314 -0.00451975 -1.97406
0.0104848 -0.00466478 -1.97406
0.0104691 -0.00480046 -1.97404
0.0103976 -0.00496566 -1.97399
0.0102696 -0.00513309 -1.97393
0.0101129 -0.00526541 -1.97387
0.00995411 -0.00539328 -1.97379
0.00979313 -0.00549672 -1.9737
0.00962505 -0.00561316 -1.97362
0.00943191 -0.00573087 -1.97352
0.00920869 -0.00580822 -1.97344
0.00895319 -0.00586605 -1.97336
0.00867795 -0.00589688 -1.97331
0.00841297 -0.00589868 -1.97327
0.00818973 -0.00588179 -1.97326
0.00805438 -0.00582491 -1.97324
0.0080268 -0.00576475 -1.97322
0.00812125 -0.00569813 -1.97321
0.00836433 -0.00563009 -1.97316
0.00875474 -0.00555342 -1.97312
0.00925761 -0.00546816 -1.97304
0.00984482 -0.00541091 -1.97296
0.010503 -0.00537295 -1.9729
0.0112117 -0.00529988 -1.97285
0.0119324 -0.00519463 -1.97282
0.0126291 -0.00508508 -1.9728
0.013296 -0.00493689 -1.97277
0.0139596 -0.00482889 -1.97273
0.014615 -0.00475596 -1.97269
0.0152612 -0.00473709 -1.97267
0.0159107 -0.00478097 -1.97265
0.0165578 -0.00484969 -1.97262
0.0172076 -0.00490677 -1.97258
0.0178534 -0.00497242 -1.97252
0.018482 -0.00504463 -1.97244
0.0190683 -0.00510741 -1.97235
0.0195654 -0.00519191 -1.97223
0.0199816 -0.00528009 -1.9721
0.0203128 -0.00539439 -1.97199
0.0205423 -0.00552722 -1.97191
0.0206543 -0.0056317 -1.97183
0.0206752 -0.00572641 -1.97177
0.0206359 -0.00576649 -1.97172
0.0205338 -0.00580561 -1.97168
0.0203704 -0.00582553 -1.97164
0.0201764 -0.00580974 -1.97162
0.0199822 -0.00580129 -1.97161
0.0198005 -0.00576453 -1.9716
0.019636 -0.00572822 -1.9716
0.0194891 -0.00567878 -1.97161
0.0193451 -0.00557371 -1.97161
0.0192057 -0.00546601 -1.97162
0.0190493 -0.0053679 -1.97164
0.0188759 -0.00526173 -1.97164
0.0186962 -0.00514877 -1.97166
0.0185417 -0.00501645 -1.97169
0.0184358 -0.00488555 -1.97174
0.0184115 -0.00477038 -1.97179
0.0184803 -0.00465225 -1.97182
0.0186336 -0.00454093 -1.97183
0.0188473 -0.00443564 -1.97182
0.0191071 -0.00435758 -1.9718
0.0193908 -0.00430969 -1.97175
0.0196839 -0.00425151 -1.9717
0.0199843 -0.00420813 -1.97169
0.0203094 -0.00418853 -1.97167
0.0206548 -0.00418398 -1.97164
0.0210256 -0.00421689 -1.9716
0.0214224 -0.00422048 -1.97156
0.021839 -0.00424316 -1.9715
0.0222479 -0.00426574 -1.9714
0.0226487 -0.00429945 -1.9713
0.0230139 -0.00434529 -1.9712
0.0233343 -0.0043694 -1.97111
0.0236254 -0.00439838 -1.97102
0.0239077 -0.004423 -1.97093
0.0241859 -0.00446061 -1.97083
0.0244445 -0.0045245 -1.97072
0.0246555 -0.00456563 -1.9706
0.0248194 -0.00461348 -1.97048
0.0249403 -0.00467363 -1.97038
0.0250503 -0.0047755 -1.9703
0.0251706 -0.00492646 -1.97023
0.0253239 -0.00509747 -1.97018
0.0255158 -0.00524752 -1.97013
0.0257652 -0.00537806 -1.9701
0.0260849 -0.00546022 -1.97008
0.0263136 -0.00549634 -1.97007
0.0265702 -0.00548827 -1.97011
0.0268416 -0.00547924 -1.9702
0.0271169 -0.00548792 -1.97035
0.0275532 -0.00550571 -1.97054
0.0279098 -0.00556509 -1.97076
0.0281559 -0.00565382 -1.97101
0.0283172 -0.00573535 -1.97127
0.0284186 -0.00581224 -1.9715
0.0282869 -0.00582352 -1.97172
0.0280721 -0.00582166 -1.97193
0.0277816 -0.0057878 -1.97215
0.0273993 -0.00570514 -1.97237
0.0271332 -0.00562934 -1.9726
0.0267469 -0.0055205 -1.97285
0.0262324 -0.00537674 -1.97309
0.0255694 -0.00522131 -1.97331
0.0247488 -0.00506151 -1.97352
0.0237693 -0.00489747 -1.97371
0.0226367 -0.004722 -1.97388
0.0213589 -0.00454403 -1.97401
0.0198776 -0.00437365 -1.97412
0.0183382 -0.00422981 -1.9742
0.016767 -0.00412501 -1.97427
0.0152134 -0.00401568 -1.97434
0.0137386 -0.00388942 -1.97443
0.0123854 -0.00380381 -1.97454
0.0111962 -0.00371992 -1.97467
0.00987923 -0.00360796 -1.9748
0.00881461 -0.00351437 -1.97496
0.00799224 -0.00345564 -1.97513
0.00740036 -0.00346771 -1.97531
0.00738256 -0.00361322 -1.97549
0.0075585 -0.00380345 -1.97569
0.007914 -0.00396582 -1.97593
0.0084229 -0.00411983 -1.97619
0.00905441 -0.00429391 -1.97646
0.00976377 -0.00445465 -1.97672
0.0105131 -0.00454748 -1.97699
0.0109974 -0.00465582 -1.97724
0.0114817 -0.00476923 -1.97747
0.0119411 -0.00489074 -1.97766
0.0123732 -0.00503115 -1.97781
0.0128057 -0.00514485 -1.97793
0.0134324 -0.00518297 -1.97801
0.0140469 -0.00522414 -1.97802
0.0146643 -0.00522089 -1.97798
0.0151313 -0.00519106 -1.97786
0.0155279 -0.00514523 -1.97768
0.0158463 -0.00508844 -1.97743
0.0160933 -0.00497223 -1.97714
0.0161924 -0.00481108 -1.97681
0.0161676 -0.00471446 -1.97648
0.0161246 -0.00462942 -1.97616
0.0159721 -0.00447083 -1.97587
0.0157208 -0.00432823 -1.97559
0.0154024 -0.0042272 -1.97534
0.015031 -0.00408556 -1.97511
0.0144824 -0.00387558 -1.9749
0.0139058 -0.00373427 -1.97468
0.0132889 -0.00358681 -1.97446
0.0126463 -0.00340481 -1.97426
0.0120053 -0.00325876 -1.97407
0.0113605 -0.00311723 -1.97393
0.0107493 -0.00293741 -1.97383
0.0101657 -0.00281817 -1.97379
0.0096094 -0.00270945 -1.97379
0.00909579 -0.00256255 -1.97381
0.00862957 -0.00247734 -1.97386
0.00821305 -0.00241702 -1.97392
0.00784988 -0.00232149 -1.97399
0.00756045 -0.00227283 -1.97407
0.00733834 -0.00220138 -1.97418
0.00715216 -0.0021357 -1.97429
0.00702373 -0.00213765 -1.97444
0.00696445 -0.0021065 -1.97461
0.00695727 -0.0020542 -1.97478
0.00697586 -0.00208425 -1.97494
0.0070124 -0.00207067 -1.9751
0.00707671 -0.00199561 -1.97525
0.00717942 -0.00193444 -1.9754
0.00732015 -0.00185677 -1.97555
0.00750674 -0.00175867 -1.97569
0.00772508 -0.00175089 -1.97583
0.00797839 -0.00174632 -1.97594
0.00822374 -0.00169968 -1.97603
0.00842693 -0.00167026 -1.9761
0.00857823 -0.00161036 -1.97614
0.00865705 -0.00147908 -1.97615
0.00865436 -0.00135604 -1.97614
0.00857328 -0.00120224 -1.97616
0.00843268 -0.000995779 -1.97619
0.00825336 -0.000738476 -1.97622
0.00804408 -0.000551159 -1.97623
0.00780157 -0.000362696 -1.9762
0.00751885 -0.000226937 -1.97613
0.00718969 -7.92214e-05 -1.97603
0.0068142 9.09269e-06 -1.97589
0.00639122 8.54329e-05 -1.97572
0.00593579 0.000220731 -1.97555
0.00543963 0.000384778 -1.97539
0.00488398 0.000475447 -1.97523
0.00429865 0.000568922 -1.9751
0.00371275 0.000673974 -1.97495
0.00312309 0.000704046 -1.9748
0.00253776 0.00064888 -1.97467
0.0019812 0.000621486 -1.97453
0.00146785 0.000579699 -1.97441
0.0010084 0.000508472 -1.9743
0.000609416 0.00051769 -1.9742
0.000298048 0.000551296 -1.97412
6.95422e-05 0.000550869 -1.97405
-7.88559e-05 0.000608379 -1.97399
-0.000176236 0.00065816 -1.97395
-0.000234449 0.000633041 -1.97392
-0.000250613 0.000665403 -1.97393
-0.000236208 0.00076373 -1.97395
-0.000226586 0.000816069 -1.97401
-0.000228073 0.000831078 -1.97409
-0.000221853 0.000925307 -1.97421
-0.000204218 0.00106038 -1.97433
-0.000184168 0.0011002 -1.97448
-0.000168187 0.0011203 -1.97463
-0.000131324 0.00122614 -1.97478
-7.8361e-05 0.00134205 -1.97492
-2.07498e-05 0.00135059 -1.97505
3.3506e-05 0.00132052 -1.97516
7.70381e-05 0.00138505 -1.97527
9.62465e-05 0.00144797 -1.97536
6.42108e-05 0.00141506 -1.97545
-1.12001e-05 0.00141077 -1.97556
-0.000135263 0.00149276 -1.97567
-0.000324087 0.00151611 -1.97579
-0.000581026 0.00147518 -1.97591
-0.000884048 0.00150399 -1.97603
-0.00123121 0.00159089 -1.97617
-0.00162224 0.00164707 -1.97629
-0.00202066 0.00166572 -1.9764
-0.00240531 0.0017218 -1.97649
-0.00277967 0.00178514 -1.97658
-0.0031616 0.00182091 -1.97664
-0.00354749 0.00180654 -1.9767
-0.00391694 0.00186024 -1.97677
-0.00428975 0.00192889 -1.97685
-0.00451394 0.00189729 -1.97693
-0.00477464 0.00182993 -1.97701
-0.00505821 0.00174837 -1.97713
-0.00536246 0.00164492 -1.97727
-0.00570315 0.00145838 -1.97741
-0.00618475 0.00125603 -1.97753
-0.00671281 0.00111503 -1.97763
-0.00730487 0.00103041 -1.97769
-0.00797155 0.000973264 -1.97771
-0.00861846 0.000994102 -1.97771
-0.00932637 0.00107792 -1.97769
-0.0100848 0.00107885 -1.97768
-0.0108722 0.0010305 -1.97767
-0.0116698 0.000964952 -1.97768
-0.0124629 0.000767476 -1.97769
-0.0132308 0.000517682 -1.97767
-0.0142293 0.000347966 -1.97765
-0.0151761 0.000191134 -1.97759
-0.0157143 -4.36635e-05 -1.97751
-0.0161427 -0.000211871 -1.97739
-0.0164465 -0.000248306 -1.97723
-0.016635 -0.000254344 -1.97707
-0.0167096 -0.000313136 -1.9769
-0.0167027 -0.000329582 -1.97675
-0.0169897 -0.000330104 -1.97662
-0.0172247 -0.000392256 -1.97653
-0.0173604 -0.000448308 -1.97646
-0.0173764 -0.000431087 -1.97641
-0.0172148 -0.000423794 -1.97634
-0.0163815 -0.000346775 -1.97625
-0.01532 -0.000228247 -1.97613
-0.0143396 -0.000134483 -1.97598
-0.0130344 -5.70739e-05 -1.97582
-0.0113921 2.07955e-05 -1.97566
-0.00948054 4.3559e-05 -1.97551
