%roll pitch yaw
-0.00451069 -0.00635541 -0.460993
-0.00451017 -0.00637256 -0.461014
-0.00451465 -0.00637188 -0.461044
-0.004498 -0.00634162 -0.461079
-0.00448969 -0.00632569 -0.461119
-0.00448895 -0.00631743 -0.461162
-0.00449434 -0.00632095 -0.461183
-0.00450524 -0.00633365 -0.461197
-0.00451357 -0.00633949 -0.461216
-0.00452369 -0.00635334 -0.461239
-0.00451716 -0.00635408 -0.461252
-0.00451823 -0.00633806 -0.461263
-0.00452375 -0.00633861 -0.46127
-0.00452357 -0.00635692 -0.461278
-0.0045289 -0.00637108 -0.461279
-0.00453685 -0.00638601 -0.461286
-0.00454329 -0.00638382 -0.461297
-0.00454481 -0.00636878 -0.461298
-0.00453833 -0.00635886 -0.461312
-0.00454042 -0.00637648 -0.461319
-0.00454827 -0.00640958 -0.461309
-0.00455248 -0.00643412 -0.461304
-0.00454893 -0.00643893 -0.461298
-0.00454875 -0.00641978 -0.461287
-0.00454203 -0.00639571 -0.461277
-0.00453247 -0.00639653 -0.461278
-0.00451935 -0.00640587 -0.461286
-0.0045079 -0.00641903 -0.461281
-0.00450249 -0.00642759 -0.461277
-0.00450174 -0.00641957 -0.461286
-0.00450436 -0.00639916 -0.461308
-0.00449365 -0.00638565 -0.461333
-0.00447473 -0.00639424 -0.461365
-0.00446052 -0.00640301 -0.46139
-0.00445641 -0.00640259 -0.461411
-0.00444312 -0.00640418 -0.461437
-0.00443965 -0.00638769 -0.461464
-0.00444163 -0.00637822 -0.4615
-0.00444336 -0.00638894 -0.461546
-0.00444703 -0.00642022 -0.461587
-0.00444462 -0.00644301 -0.461622
-0.00446103 -0.00647523 -0.461648
-0.00446873 -0.00648628 -0.461664
-0.00447205 -0.00648606 -0.461691
-0.00448128 -0.00648597 -0.461714
-0.00448077 -0.00647892 -0.461741
-0.00447981 -0.00646933 -0.461774
-0.00448301 -0.00645931 -0.461778
-0.0044915 -0.00644982 -0.46179
-0.00449096 -0.00642881 -0.461812
-0.00450111 -0.00641074 -0.461834
-0.00450271 -0.00642083 -0.461848
-0.00450834 -0.00643285 -0.46185
-0.00452096 -0.00644726 -0.461845
-0.00452311 -0.0064592 -0.461828
-0.00451384 -0.00646198 -0.461811
-0.00450622 -0.00644536 -0.461807
-0.00450579 -0.00641695 -0.461799
-0.0044937 -0.00639952 -0.461802
-0.00448199 -0.00639387 -0.46181
-0.00447529 -0.00640014 -0.461817
-0.00446977 -0.00641052 -0.461825
-0.00446162 -0.00642068 -0.461844
-0.00445588 -0.00641346 -0.461868
-0.00445597 -0.00639888 -0.461891
-0.00445011 -0.00638767 -0.461903
-0.00445443 -0.00639099 -0.461913
-0.00444976 -0.00640366 -0.461935
-0.00445014 -0.00641993 -0.461963
-0.00443765 -0.0064112 -0.461986
-0.00442511 -0.00641429 -0.462003
-0.00442394 -0.00641823 -0.462025
-0.00442054 -0.00642573 -0.462059
-0.00441665 -0.0064291 -0.462088
-0.00442009 -0.00643109 -0.462109
-0.00443148 -0.00642218 -0.462135
-0.00444518 -0.0063974 -0.462169
-0.00445271 -0.00636332 -0.462208
-0.00445907 -0.00632444 -0.462252
