%roll pitch yaw
-0.00365951 -0.00159979 -0.0250227
-0.00365998 -0.00160264 -0.025005
-0.00365835 -0.00161807 -0.0249977
-0.00366107 -0.00162039 -0.0249823
-0.0036684 -0.00164349 -0.0249705
-0.00367415 -0.00164154 -0.0249654
-0.00368053 -0.00163518 -0.0249733
-0.00368727 -0.00165774 -0.0249771
-0.0036886 -0.00165542 -0.0249701
-0.00369058 -0.00165183 -0.0249713
-0.00368986 -0.00167048 -0.0249722
-0.00368554 -0.00167681 -0.0249689
-0.00370411 -0.00171292 -0.0249729
-0.00371853 -0.00173737 -0.0249789
-0.00371218 -0.00176514 -0.024997
-0.00371079 -0.00181007 -0.025009
-0.00369913 -0.001835 -0.0250162
-0.00368938 -0.00187006 -0.0250318
-0.00367384 -0.00188438 -0.0250394
-0.00366136 -0.00191677 -0.0250509
-0.00364699 -0.0019488 -0.0250736
-0.00364209 -0.00198771 -0.0251001
-0.00364251 -0.00204789 -0.0251154
-0.00364466 -0.00209139 -0.0251337
-0.00364649 -0.00214159 -0.0251606
-0.00365276 -0.00217954 -0.0251863
-0.00365507 -0.00222244 -0.025207
-0.00366464 -0.00226932 -0.0252265
-0.00366975 -0.00232008 -0.0252391
-0.0036811 -0.00238157 -0.0252549
-0.00368875 -0.00244616 -0.025272
-0.00370054 -0.00250558 -0.0252808
-0.003709 -0.00259253 -0.0252887
-0.00371948 -0.00267439 -0.0252955
-0.00372758 -0.00277503 -0.0253108
-0.00372359 -0.00285835 -0.0253367
-0.00372564 -0.00293993 -0.0253504
-0.00373258 -0.00303956 -0.0253532
-0.0037342 -0.00314463 -0.0253374
-0.00373812 -0.00326339 -0.0253353
-0.0037331 -0.00335174 -0.0253356
-0.00372184 -0.0034375 -0.0253293
-0.00371667 -0.00351525 -0.0253111
-0.00371225 -0.00359719 -0.0252945
-0.00370831 -0.00367421 -0.0252805
-0.00369395 -0.00375138 -0.0252694
-0.00368626 -0.00382854 -0.0252718
-0.00368301 -0.003892 -0.0252629
-0.00369044 -0.0039547 -0.0252616
-0.00369492 -0.00400047 -0.0252451
-0.0036978 -0.00402042 -0.025245
-0.00369098 -0.00403367 -0.0252414
-0.00369003 -0.00405233 -0.0252353
-0.00369143 -0.00407616 -0.0252495
-0.00369379 -0.00406806 -0.0252618
-0.00370397 -0.00407 -0.0252655
-0.00371159 -0.00406945 -0.0252629
-0.00371745 -0.00406431 -0.0252869
-0.00372593 -0.00406331 -0.0252908
-0.00374093 -0.00406812 -0.0253005
-0.00374888 -0.00406892 -0.0253129
-0.00374419 -0.00406188 -0.0253317
-0.00374075 -0.00406715 -0.0253439
-0.00374174 -0.00404391 -0.0253528
-0.00374906 -0.00403078 -0.0253702
-0.00374361 -0.00401645 -0.0253825
-0.00374749 -0.00401017 -0.0254003
-0.00374845 -0.00399828 -0.025421
-0.0037439 -0.00399973 -0.0254313
-0.00374872 -0.00399504 -0.025443
-0.00374997 -0.00400133 -0.0254596
-0.0037591 -0.00400435 -0.0254789
-0.00376878 -0.00401892 -0.0255069
-0.00377834 -0.00404775 -0.0255217
-0.00379648 -0.00408225 -0.0255329
-0.00381198 -0.00412213 -0.0255447
-0.00383026 -0.004161 -0.025556
-0.00386729 -0.00418953 -0.0255495
-0.00390167 -0.00423045 -0.0255485
-0.00391741 -0.00426583 -0.0255567
-0.00393772 -0.00431792 -0.025558
-0.00394076 -0.00435434 -0.0255578
-0.0039534 -0.00440375 -0.0255664
-0.00395628 -0.00445644 -0.0255622
-0.00394805 -0.00451826 -0.0255617
-0.00394015 -0.00456692 -0.0255584
-0.0039476 -0.0046219 -0.0255481
-0.00395905 -0.00467314 -0.0255408
-0.0039622 -0.0047083 -0.0255311
-0.00395308 -0.00474296 -0.0255303
-0.00394081 -0.00478029 -0.0255237
-0.00393671 -0.00479726 -0.025532
-0.00393701 -0.00482979 -0.0255468
-0.00393276 -0.00484822 -0.0255582
-0.00392405 -0.00486657 -0.0255682
-0.00390764 -0.00486419 -0.0255821
-0.00388431 -0.00487475 -0.0255863
-0.00386129 -0.0048785 -0.0255922
-0.00385036 -0.00487357 -0.0256097
-0.00385539 -0.00485071 -0.0256167
-0.00385298 -0.00483346 -0.0256107
-0.00386033 -0.00480341 -0.0256071
-0.00387584 -0.00477565 -0.0256092
-0.00387927 -0.00475111 -0.0256166
-0.00389236 -0.0047339 -0.0256152
-0.00391694 -0.00472707 -0.0256126
-0.00394505 -0.00473746 -0.025618
-0.00396114 -0.00474566 -0.0256277
-0.00398521 -0.00475105 -0.0256432
-0.00400106 -0.0047607 -0.0256522
-0.0040047 -0.00477176 -0.0256674
-0.00400063 -0.00480231 -0.0256905
-0.00399881 -0.0048364 -0.0257092
-0.00398274 -0.00487776 -0.0257117
-0.00396886 -0.00491731 -0.0257256
-0.00395884 -0.00496584 -0.02574
-0.00395812 -0.00502745 -0.0257605
-0.0039571 -0.00509078 -0.0257743
-0.00395884 -0.00515939 -0.0257836
-0.00396673 -0.00523199 -0.0257996
-0.00397403 -0.0052786 -0.0258111
-0.00397081 -0.0053121 -0.0258191
-0.00395545 -0.00532846 -0.0258091
-0.00394335 -0.00532818 -0.0258035
-0.00393764 -0.00532439 -0.0258013
-0.00393551 -0.00531973 -0.025799
-0.00393662 -0.00531561 -0.0258004
-0.00394183 -0.00529731 -0.0258098
-0.00395565 -0.00527544 -0.0258143
-0.00397621 -0.00524613 -0.0258077
-0.00400615 -0.00520899 -0.0258037
-0.00402583 -0.00516092 -0.0257977
-0.00404623 -0.00513035 -0.0258001
-0.00406324 -0.00511675 -0.0258027
-0.00408067 -0.00511648 -0.0258004
-0.00409384 -0.00514293 -0.0257949
-0.00409868 -0.0051722 -0.0257818
-0.00409681 -0.00521439 -0.0257813
-0.00409282 -0.00526535 -0.0258054
-0.00409424 -0.00533262 -0.0258295
-0.00409457 -0.00540802 -0.0258545
-0.00407568 -0.00546893 -0.0258712
-0.00406641 -0.0055268 -0.0258959
-0.00406605 -0.00557945 -0.0259316
-0.00406867 -0.0056304 -0.0259592
-0.00406846 -0.00568276 -0.0259932
-0.00405658 -0.00572911 -0.0260133
-0.00404326 -0.00576581 -0.0260303
-0.00403184 -0.00577232 -0.0260341
-0.0040185 -0.00574975 -0.0260334
-0.00402199 -0.00571806 -0.0260348
-0.00402621 -0.00567324 -0.0260372
-0.0040308 -0.00562933 -0.0260461
-0.0040481 -0.0055704 -0.0260524
-0.00406578 -0.00553461 -0.0260556
-0.00408963 -0.00552273 -0.0260475
-0.00411044 -0.00551611 -0.0260402
-0.00413603 -0.00552171 -0.0260246
-0.00416009 -0.00551807 -0.0260194
-0.00418276 -0.00553265 -0.026008
-0.00421205 -0.00555416 -0.0259897
-0.00423862 -0.00558297 -0.0259764
-0.00426177 -0.00560675 -0.0259704
-0.00427777 -0.0056167 -0.0259726
-0.0042818 -0.00563228 -0.0259873
-0.00428562 -0.00566696 -0.0259951
-0.00428392 -0.00571185 -0.0259895
-0.00427964 -0.00574638 -0.0259888
-0.00427168 -0.00577971 -0.0259839
-0.00427014 -0.00580054 -0.0259975
-0.00426453 -0.00583335 -0.0260152
-0.00425129 -0.00585467 -0.0260496
-0.00423962 -0.00587319 -0.0260703
-0.00422989 -0.00589419 -0.0260914
-0.00421527 -0.00590681 -0.0261071
-0.00421067 -0.00593414 -0.0261234
-0.00420984 -0.00597078 -0.0261391
-0.00421322 -0.00600314 -0.0261508
-0.00422243 -0.00603075 -0.0261617
-0.00423324 -0.00604568 -0.0261699
-0.00424303 -0.00605046 -0.0261784
-0.00425108 -0.00603393 -0.0261796
-0.00426054 -0.00601174 -0.026173
-0.00427238 -0.00598422 -0.0261848
-0.00428266 -0.00595873 -0.0262079
-0.00429852 -0.00594181 -0.0262144
-0.00432122 -0.00592915 -0.026218
-0.00434907 -0.00591246 -0.026221
-0.00438089 -0.00589601 -0.0262237
-0.00438868 -0.00588755 -0.0262137
-0.00439255 -0.00588057 -0.0262167
-0.00440001 -0.00587522 -0.0262219
-0.00439521 -0.00588162 -0.026215
-0.00438828 -0.00589536 -0.0262002
-0.00438758 -0.00592048 -0.0262019
-0.0043817 -0.00592607 -0.026196
-0.00437451 -0.00593792 -0.0261887
-0.00437249 -0.00594618 -0.0261986
-0.00437564 -0.00594286 -0.0261962
-0.00437708 -0.00592021 -0.0261983
-0.00438057 -0.00591183 -0.0262146
-0.00437509 -0.00590455 -0.02623
-0.00436432 -0.00590534 -0.0262464
-0.00435727 -0.00590252 -0.0262605
-0.00434198 -0.00590828 -0.0262703
-0.00434126 -0.00591534 -0.0262761
-0.00434306 -0.00593446 -0.026292
-0.00433727 -0.00597079 -0.0262924
-0.00433332 -0.00600893 -0.0262945
-0.00433202 -0.00606299 -0.0262953
-0.00433074 -0.00609679 -0.0262933
-0.00433965 -0.00613102 -0.0263053
-0.00436083 -0.00616217 -0.0263184
-0.00438573 -0.00615763 -0.0263269
-0.00441297 -0.00613673 -0.0263434
-0.0044425 -0.00611526 -0.0263625
-0.00446717 -0.0060947 -0.0263663
-0.00447751 -0.00607413 -0.0263726
-0.00447991 -0.00604104 -0.0263829
-0.00448388 -0.00600523 -0.0264023
-0.00448185 -0.00597707 -0.026421
-0.00447672 -0.00597434 -0.0264416
-0.00447319 -0.00600858 -0.0264685
-0.00445642 -0.00604522 -0.0264746
-0.00443332 -0.00608648 -0.0264664
-0.00441835 -0.00611246 -0.0264648
-0.00440663 -0.00611765 -0.0264477
-0.00440238 -0.00610189 -0.0264592
-0.00440527 -0.00606603 -0.0264722
-0.00440902 -0.00603392 -0.0264844
-0.00440923 -0.00600358 -0.0264816
-0.004408 -0.00597226 -0.0264888
-0.00441759 -0.00593483 -0.0264986
-0.00443191 -0.00590765 -0.0265241
-0.00444263 -0.00588242 -0.026535
-0.00445363 -0.00586702 -0.0265394
-0.00446634 -0.00587076 -0.0265323
-0.00446549 -0.00589962 -0.0265198
-0.00446088 -0.0059419 -0.0265052
-0.00446667 -0.00598663 -0.0264755
-0.00447278 -0.0060192 -0.0264487
-0.00448595 -0.00603621 -0.0264382
-0.00450398 -0.00604922 -0.0264412
-0.00453288 -0.00604978 -0.0264463
-0.00456023 -0.006025 -0.0264702
-0.00457543 -0.00597805 -0.0264892
-0.00458623 -0.00593079 -0.0265174
-0.00459349 -0.00587854 -0.0265513
-0.00459702 -0.00584273 -0.0265743
-0.00458961 -0.00582408 -0.0265994
-0.00458163 -0.00583255 -0.0266199
-0.00455871 -0.00585096 -0.0266318
-0.00453418 -0.00588564 -0.0266366
-0.00451245 -0.00593048 -0.0266392
-0.00449021 -0.00597101 -0.0266459
-0.00448254 -0.00600174 -0.0266585
-0.00447357 -0.00601163 -0.0266708
-0.00445479 -0.00599816 -0.0266869
-0.00446479 -0.00596989 -0.0267017
-0.00449865 -0.00591197 -0.0267125
-0.0045296 -0.0058529 -0.0267225
-0.00455312 -0.00581208 -0.0267321
-0.00457566 -0.00577752 -0.0267485
-0.00459061 -0.00577176 -0.026758
-0.00459976 -0.00577688 -0.0267522
-0.00459174 -0.00579085 -0.0267413
-0.00458517 -0.00581542 -0.0267175
-0.00457045 -0.00585027 -0.0266858
-0.00455669 -0.00586957 -0.0266681
-0.00454484 -0.00587869 -0.0266511
-0.00454631 -0.00588459 -0.0266481
-0.00454205 -0.00585723 -0.0266673
-0.00456669 -0.00581972 -0.026686
-0.00459253 -0.00578317 -0.0267142
-0.00461349 -0.00572645 -0.0267275
