%roll pitch yaw
-0.00536316 0.0108311 -0.483185
-0.00536347 0.0108078 -0.482698
-0.00534743 0.0107857 -0.482192
-0.0053432 0.0107583 -0.481676
-0.00533231 0.0107468 -0.481158
-0.00532632 0.0107422 -0.480638
-0.00532681 0.0107385 -0.480107
-0.00532532 0.0107346 -0.47957
-0.00532154 0.0107416 -0.47902
-0.00531856 0.0107363 -0.478468
-0.00531329 0.010725 -0.477905
-0.00530627 0.0107169 -0.477319
-0.00530454 0.0107112 -0.476739
-0.00531877 0.0107075 -0.476177
-0.00532587 0.010703 -0.475606
-0.00534496 0.0107122 -0.475037
-0.00536931 0.0107263 -0.474444
-0.00539537 0.0107374 -0.473847
-0.00541441 0.0107645 -0.473243
-0.00541084 0.0107845 -0.472641
-0.00539975 0.010809 -0.472029
-0.00538613 0.0108289 -0.471406
-0.005375 0.0108412 -0.470787
-0.00535998 0.0108583 -0.470173
-0.00533641 0.0108838 -0.469556
-0.00530976 0.0108958 -0.468941
-0.00528944 0.0109045 -0.468327
-0.00528508 0.0108977 -0.467707
-0.00527866 0.010893 -0.467084
-0.00526373 0.0108674 -0.466456
-0.005253 0.0108413 -0.465834
-0.00523213 0.0108278 -0.465202
-0.00521601 0.0108047 -0.464576
-0.00521005 0.0107778 -0.463947
-0.00521736 0.0107421 -0.463297
-0.00524003 0.0107145 -0.462636
-0.00525955 0.0107025 -0.46197
-0.00527549 0.0106945 -0.461306
-0.00529059 0.0107002 -0.460654
-0.00531458 0.0107228 -0.459994
-0.00533303 0.0107404 -0.459352
-0.00535388 0.010764 -0.458727
-0.00536454 0.0107965 -0.458093
-0.00535315 0.0108242 -0.45745
-0.00532901 0.0108321 -0.456801
-0.00529039 0.0108559 -0.456156
-0.00525272 0.0108829 -0.455517
-0.00522188 0.0109001 -0.454871
-0.00518808 0.0109072 -0.454236
-0.00515336 0.0109257 -0.453606
-0.00513527 0.0109322 -0.452977
-0.00512039 0.0109271 -0.452348
-0.00511348 0.0109135 -0.451722
-0.00511259 0.0108883 -0.451083
-0.00509856 0.0108556 -0.450445
-0.00506926 0.0108148 -0.449813
-0.00504775 0.0107857 -0.449177
-0.00503872 0.0107542 -0.448553
-0.00503233 0.0107222 -0.447924
-0.00501895 0.0106904 -0.447314
-0.00500981 0.0106738 -0.446698
-0.0050091 0.0106691 -0.44606
-0.00501477 0.0106645 -0.445435
-0.00502205 0.0106686 -0.444793
-0.00502341 0.0106721 -0.444141
-0.00502021 0.0106846 -0.443504
-0.0050129 0.0107007 -0.44288
-0.00501587 0.0107014 -0.442245
-0.00502242 0.0106987 -0.4416
-0.00502722 0.0106997 -0.44097
-0.00503357 0.0107061 -0.440346
-0.00503476 0.0107017 -0.439688
-0.00504595 0.0106907 -0.439035
-0.00505137 0.0106666 -0.438379
-0.00503814 0.0106432 -0.437718
-0.00502937 0.0106246 -0.437059
-0.00501238 0.0106075 -0.436395
-0.00499213 0.0105833 -0.435737
-0.00496841 0.0105571 -0.435078
-0.00494338 0.010537 -0.43441
-0.00491923 0.0105152 -0.433743
-0.00490864 0.0105044 -0.433072
-0.00488436 0.010484 -0.432393
-0.00485632 0.0104739 -0.431719
-0.00483546 0.0104662 -0.431048
-0.00483509 0.0104576 -0.430375
-0.00483902 0.0104567 -0.4297
-0.00484214 0.0104548 -0.42902
-0.00484584 0.0104491 -0.428353
-0.00484579 0.0104448 -0.427693
-0.00484636 0.0104513 -0.427027
-0.00484845 0.0104595 -0.426368
-0.00484737 0.010466 -0.425716
-0.00485096 0.0104605 -0.425061
-0.00484461 0.0104569 -0.424406
-0.00484023 0.010441 -0.423753
-0.00483734 0.0104202 -0.4231
-0.00484122 0.010401 -0.422458
-0.00484704 0.0103836 -0.421823
-0.00484084 0.0103537 -0.421202
-0.00483941 0.0103155 -0.420598
-0.00484017 0.0102907 -0.419981
-0.00483132 0.0102706 -0.419376
-0.00483017 0.0102397 -0.418778
-0.00484118 0.010209 -0.418179
-0.00484914 0.0101751 -0.417591
-0.00484879 0.0101438 -0.417005
-0.00484153 0.0101247 -0.416419
-0.00483737 0.0101327 -0.415828
-0.00482608 0.010154 -0.415226
-0.00480829 0.0101706 -0.414623
-0.0047844 0.0101856 -0.414026
-0.00476617 0.0102038 -0.41343
-0.00475151 0.0102062 -0.412807
-0.0047437 0.0101889 -0.412191
-0.00473405 0.0101775 -0.411577
-0.00473213 0.0101537 -0.410968
-0.00473914 0.0101261 -0.410352
-0.00474376 0.0101067 -0.409735
-0.00474701 0.0101047 -0.409117
-0.00475705 0.0101074 -0.408483
-0.00477712 0.0100948 -0.407845
-0.0047809 0.0100988 -0.407195
-0.00476873 0.0100947 -0.406532
-0.00476377 0.010097 -0.405865
-0.00475781 0.0100858 -0.405198
-0.00474938 0.0100543 -0.40452
-0.00472417 0.0100162 -0.403842
-0.00469243 0.00996459 -0.403153
-0.00468726 0.00993707 -0.402454
-0.004692 0.00991845 -0.401751
-0.00469104 0.00991458 -0.401052
-0.00468415 0.00991912 -0.400339
-0.00468383 0.00991717 -0.399631
-0.00469201 0.00992434 -0.398926
-0.00468711 0.009931 -0.398225
-0.00467929 0.00992086 -0.397531
-0.00467384 0.00990702 -0.396847
-0.00466632 0.00989711 -0.396155
-0.00465838 0.00987091 -0.395454
-0.00465118 0.0098436 -0.394763
-0.00463787 0.00982977 -0.39409
-0.00463369 0.00981791 -0.393418
-0.00464402 0.0097944 -0.39275
-0.00464445 0.00976998 -0.3921
-0.00464375 0.0097546 -0.391456
-0.00464648 0.00975006 -0.390811
-0.00463151 0.00973653 -0.390155
-0.0046152 0.00971507 -0.389512
-0.00459743 0.00971029 -0.388878
-0.00458947 0.00969495 -0.388244
-0.0045858 0.00968745 -0.387622
-0.00457289 0.00967216 -0.387023
-0.00455026 0.00966693 -0.386417
-0.00453039 0.0096577 -0.385803
-0.00450859 0.00964613 -0.385186
-0.00449434 0.00964283 -0.384577
-0.0044863 0.00963795 -0.383964
-0.00447644 0.00963361 -0.383358
-0.00446446 0.00963879 -0.382769
-0.0044566 0.00962462 -0.382193
-0.00446527 0.00961132 -0.38162
-0.00446994 0.00959108 -0.381049
-0.00446036 0.00956294 -0.380457
-0.00445916 0.00954847 -0.379869
-0.00446176 0.00954771 -0.379269
-0.00447862 0.00954673 -0.37866
-0.00450389 0.00953109 -0.37806
-0.00451345 0.00952088 -0.377462
-0.0045193 0.00951346 -0.376859
-0.00451614 0.0095025 -0.376247
-0.00452665 0.00948946 -0.375621
-0.00453665 0.00947129 -0.374976
-0.00455245 0.00944047 -0.374328
-0.00455091 0.00940174 -0.373677
-0.00454436 0.00936459 -0.373035
-0.00454197 0.00933791 -0.372383
-0.00453966 0.00933051 -0.371726
-0.00452959 0.00931639 -0.371079
-0.00451762 0.00931508 -0.37042
-0.00450527 0.0092945 -0.369748
-0.00449208 0.00926966 -0.36907
-0.00447363 0.00925091 -0.368389
-0.00445727 0.00924608 -0.367707
-0.00444883 0.00923173 -0.367027
