%roll pitch yaw
-0.00306029 -0.00325481 -0.147836
-0.00306124 -0.00326214 -0.147846
-0.00307291 -0.00326696 -0.147862
-0.00308046 -0.00326627 -0.147881
-0.00307747 -0.00325781 -0.147893
-0.0030717 -0.0032422 -0.147891
-0.00307468 -0.00322773 -0.147897
-0.00306523 -0.00322389 -0.147908
-0.00305495 -0.00321263 -0.147915
-0.00305006 -0.00319205 -0.14791
-0.00304279 -0.00315894 -0.147907
-0.00304765 -0.00313692 -0.147894
-0.00305422 -0.00312701 -0.147894
-0.00305879 -0.00311571 -0.147896
-0.00307057 -0.0030942 -0.147904
-0.00307847 -0.00306635 -0.147904
-0.00308639 -0.00304004 -0.147915
-0.00308878 -0.00303788 -0.147941
-0.00307531 -0.00303742 -0.14795
-0.00307185 -0.00304454 -0.147963
-0.00307711 -0.00303521 -0.14798
-0.0030711 -0.00301074 -0.147986
-0.00305659 -0.00297512 -0.147981
-0.00305029 -0.00293884 -0.147981
-0.00302413 -0.00291422 -0.147991
-0.00299367 -0.00291833 -0.148004
-0.00297155 -0.00293464 -0.148012
-0.00295891 -0.0029579 -0.148024
-0.00296219 -0.00298011 -0.148036
-0.00297131 -0.00302116 -0.14805
-0.00297642 -0.00305733 -0.14806
-0.00297947 -0.00307296 -0.148079
-0.00298586 -0.00309066 -0.148106
-0.00297605 -0.00311792 -0.148123
-0.00296699 -0.00313604 -0.148144
-0.00296954 -0.00314673 -0.148178
-0.00296982 -0.00313632 -0.148207
-0.00297273 -0.00310775 -0.14823
-0.00297222 -0.00307487 -0.148243
-0.00296741 -0.00304523 -0.148245
-0.00296151 -0.0030234 -0.148243
-0.00296695 -0.00300044 -0.148248
-0.0029736 -0.00297098 -0.14826
-0.00297844 -0.00294427 -0.14827
-0.00297925 -0.00291971 -0.148285
-0.00299638 -0.00288952 -0.148292
-0.00302233 -0.00286817 -0.148298
-0.0030523 -0.00285113 -0.148309
-0.00306518 -0.00282532 -0.148325
-0.00307611 -0.0028136 -0.148342
-0.00308285 -0.00280768 -0.148361
-0.00309222 -0.00280218 -0.148382
-0.00309747 -0.00280874 -0.148405
-0.00308349 -0.0028083 -0.148423
-0.00305464 -0.002793 -0.148435
-0.00302561 -0.00277888 -0.148435
-0.0030099 -0.00275594 -0.148446
-0.00300276 -0.00275791 -0.148432
-0.00299938 -0.00276169 -0.148419
-0.00300136 -0.00276371 -0.148422
-0.00301508 -0.00277083 -0.148429
-0.00302274 -0.00278919 -0.14843
-0.00302192 -0.00280755 -0.148433
-0.0030305 -0.00283553 -0.148441
-0.00303246 -0.00286871 -0.148462
-0.00303256 -0.00288955 -0.148484
-0.00302451 -0.00290736 -0.148512
-0.00301421 -0.00291177 -0.148543
-0.00299745 -0.0029218 -0.14857
-0.0029901 -0.00292586 -0.148585
-0.00298531 -0.00290776 -0.14858
-0.00296669 -0.00288672 -0.148584
-0.00295375 -0.00287306 -0.148587
-0.00295536 -0.00283851 -0.148594
-0.00295955 -0.00280674 -0.148608
-0.00298174 -0.00278318 -0.14861
-0.00300884 -0.00275759 -0.148629
-0.00302454 -0.00272935 -0.148655
-0.00304252 -0.00270713 -0.148685
-0.00307553 -0.00268323 -0.148707
-0.00309965 -0.00266537 -0.148704
-0.00311627 -0.00264072 -0.148706
-0.00313033 -0.00262265 -0.148708
-0.00312913 -0.00260398 -0.148725
-0.00311533 -0.00259548 -0.148743
-0.0031065 -0.00259401 -0.148752
-0.00309628 -0.00258982 -0.148765
-0.00308542 -0.00256298 -0.148779
-0.00308215 -0.00253235 -0.148778
-0.00308102 -0.00252363 -0.148793
-0.00307202 -0.00251885 -0.1488
-0.00307868 -0.00251396 -0.1488
-0.0030909 -0.00252574 -0.148797
-0.00309934 -0.002549 -0.148788
-0.00312084 -0.00257313 -0.148782
-0.00313094 -0.00262885 -0.148789
-0.00312356 -0.00267356 -0.1488
-0.00312652 -0.00271708 -0.14881
-0.00312684 -0.00275085 -0.14883
-0.00311841 -0.00276475 -0.148858
-0.00308885 -0.00277046 -0.148882
-0.00305906 -0.00277176 -0.148899
-0.00304613 -0.0027711 -0.148911
-0.00304083 -0.00275619 -0.14892
-0.00303678 -0.00274373 -0.14892
-0.00303982 -0.00271275 -0.148932
-0.00304898 -0.00266583 -0.148934
-0.00306052 -0.00262313 -0.148944
-0.00307012 -0.00259634 -0.148957
-0.00308335 -0.0025795 -0.148978
-0.00310215 -0.00255399 -0.149003
-0.00311829 -0.00252141 -0.14903
-0.00313612 -0.00247981 -0.149046
-0.00314069 -0.00245064 -0.14907
-0.00313833 -0.00243335 -0.149083
-0.00311513 -0.00242448 -0.149088
-0.00309612 -0.00240978 -0.149095
-0.00308902 -0.00238683 -0.1491
-0.00308255 -0.00235937 -0.149091
-0.00307318 -0.00233998 -0.149089
-0.0030687 -0.00231531 -0.149099
-0.00307494 -0.00229411 -0.149103
-0.00308026 -0.00226979 -0.149095
-0.00307622 -0.0022622 -0.149091
-0.00308151 -0.00226227 -0.14908
-0.00308575 -0.00227699 -0.149085
-0.00309153 -0.00230769 -0.149095
-0.00308169 -0.00233055 -0.14911
-0.00307152 -0.00234592 -0.149134
-0.00306549 -0.00236008 -0.149158
-0.0030486 -0.00238863 -0.149182
-0.00302391 -0.00241862 -0.149203
-0.00300034 -0.00243962 -0.14922
-0.00297685 -0.00246195 -0.14924
-0.00295745 -0.00247359 -0.149253
-0.00295123 -0.00246517 -0.149266
-0.00296373 -0.00244795 -0.149269
-0.00298521 -0.00242793 -0.149281
-0.00300216 -0.00240077 -0.149297
-0.00301602 -0.00237909 -0.149319
-0.00302752 -0.00235347 -0.149332
-0.00304828 -0.0023282 -0.14934
-0.00306713 -0.00229746 -0.149353
-0.00308656 -0.00228436 -0.149371
-0.00309972 -0.00228178 -0.149381
-0.00311319 -0.0022655 -0.149377
-0.00310949 -0.0022463 -0.149376
-0.00309471 -0.00224231 -0.149382
-0.00309271 -0.00224231 -0.149388
-0.00308508 -0.00222455 -0.149405
-0.00308483 -0.00221203 -0.149409
-0.00309255 -0.00219642 -0.149409
-0.00309671 -0.00215716 -0.149414
-0.00309052 -0.00212188 -0.149416
-0.00308021 -0.00210691 -0.149418
-0.00308201 -0.00209099 -0.149416
-0.00309071 -0.0020732 -0.149416
-0.00309868 -0.00206115 -0.149437
-0.00310608 -0.00207419 -0.149455
-0.00310414 -0.00210658 -0.14946
-0.00310578 -0.00214858 -0.149464
-0.00310518 -0.00217265 -0.149461
-0.00309972 -0.00218666 -0.149471
-0.00309494 -0.0022005 -0.14949
-0.00308142 -0.00221678 -0.149498
-0.00306581 -0.00225265 -0.149517
-0.00304514 -0.00228466 -0.149536
-0.00303207 -0.00231192 -0.149562
-0.00302543 -0.00232389 -0.149574
-0.00301936 -0.00232343 -0.149591
-0.00302711 -0.00230229 -0.149616
-0.00304675 -0.00228488 -0.14964
-0.00306909 -0.00226286 -0.149655
-0.00309286 -0.0022368 -0.149672
-0.00312077 -0.00220688 -0.149699
-0.00313818 -0.00216404 -0.149723
-0.00314959 -0.0021385 -0.149759
-0.0031671 -0.00212965 -0.149781
-0.00318117 -0.00210935 -0.149787
-0.00318786 -0.00207269 -0.149793
